FechaParticipacion;¿Con qué finalidad se dirige habitualmente a la Hemeroteca Municipal?;¿Con qué frecuencia acude a la Hemeroteca Municipal?;¿Ha utilizado el servicio de consulta en sala?;Por favor, valore de 0 a 10 su grado de satisfacción con el servicio de consulta en sala.;¿Ha utilizado el servicio de reprografía?;Satisfacción general con el servicio de reprografía;¿Ha participado en alguna actividad organizada por la Hemeroteca Municipal (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;Satisfacción con las actividades culturales;Servicio de información general y especializada;Uso de la red wifi;Hemerotecas digitales y recursos en línea;Acceso a plataformas de prensa (ORBYT, KIOSCO Y MÁS, etc.);Servicio de información general y especializada2;¿Qué fondos son los que más consulta en la Hemeroteca Municipal de Madrid?;¿Conoce la página web de la Hemeroteca Municipal?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura;La información general y especializada recibida;El trato y la atención recibidos;¿Cuál es su valoración general de la Hemeroteca Municipal y sus servicios? Valore su satisfacción de 0 a 10.;¿En cuál de los siguientes grupos de edad se encuentra usted?;De manera global, el servicio prestado por la Hemeroteca Municipal ha sido:
2022-10-25 10:21:51. 0;Investigación y estudio;Varias veces al año;Sí;10;Sí;10;No;;Sí;No;Sí;Sí;10;"Publicaciones siglos XVII-XVIII;Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;10;10;10;10;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-25 10:33:6. 0;Interés personal;Ocasionalmente;Sí;10;Sí;10;No;;No;No;No;No;NS/NC;Publicaciones periódicas siglo XX;No;;;;;10;9;9;10;10;Más de 65 años;Mejor de lo que esperaba
2022-10-25 10:35:22. 0;Interés personal;Ocasionalmente;Sí;10;Sí;8;No;;No;No;Sí;No;NS/NC;Publicaciones periódicas siglo XX;Sí;8;9;7;9;9;9;9;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-25 10:41:37. 0;Investigación y estudio;Ocasionalmente;Sí;10;No;;No;;Sí;No;No;No;10;Publicaciones periódicas siglo XX;No;;;;;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-10-25 11:5:5. 0;Investigación y estudio;Varias veces al año;Sí;6;No;;No;;Sí;No;Sí;Sí;6;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;7;5;6;6;7;6;7;8;7;De 45 a 64 años;Mejor de lo que esperaba
2022-10-25 20:39:30. 0;Interés personal;Varias veces al año;Sí;8;No;;No;;Sí;No;Sí;No;8;Publicaciones periódicas siglo XX;No;;;;;6;7;7;9;9;Más de 65 años;Mejor de lo que esperaba
2022-10-26 5:23:56. 0;Interés profesional;Ocasionalmente;Sí;10;Sí;10;No;;Sí;Sí;Sí;No;10;Publicaciones periódicas siglo XX;Sí;9;9;9;9;9;9;9;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-26 9:7:33. 0;Investigación y estudio;Ocasionalmente;Sí;8;Sí;7;No;;Sí;No;No;No;9;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX";No;;;;;10;9;9;9;8;Más de 65 años;Mejor de lo que esperaba
2022-10-26 13:34:44. 0;Interés personal;Varias veces al año;Sí;10;No;;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;Sí;5;5;10;10;10;10;10;10;10;De 45 a 64 años;Igual de lo que esperaba
2022-10-26 18:22:42. 0;Investigación y estudio;Ocasionalmente;Sí;10;Sí;10;No;;Sí;No;Sí;No;10;Publicaciones periódicas siglo XX;No;;;;;10;10;10;10;10;De 30 a 44 años;Mejor de lo que esperaba
